uf,municipio,logradouro,complemento,bairro,telefone,id
TO,Palmas,"Acsv So 60 Conjunto 01, Lote 01",S/n - 601 Sul Av. Teotônio Segurado,Plano Diretor Sul,(63) 3215-7592,20742
PR,Curitiba,Avenida Presidente Wenceslau Braz,1172 -,Lindóia,3213-5211,1004316
TO,Palmas,Quadra Acse 01,"- Conjunto 01, Pse 03 Lote 20",Plano Diretor Sul,63-3215-7088,18138
TO,Palmas,Quadra 103 Norte Rua de Pedestre No-03,26 -,Centro,(63) 32166000,659333
SP,Sao Manuel,Rua Emilio Rugai,230 -,Jd. Pinheiro,(14) 3841-1729,2006200
TO,Palmas,"Quadra Acsuse 40, Conjunto 02, Lote 16",S/n - Av. Ns - 02,Centro,6332147345,105550
SP,Sao Manuel,Vicinal Nilo Lisboa Chavasco,5000 -,Chácara Saltino,(11) 2633-9000,22657
PR,Curitiba,Rua Afiffe Mansur,565 - Térreo,Novo Mundo,(41) 3346-1414,6753
TO,Palmas,Avenida Teotônio Segurado,"- Quadra 902 Sul, Lote 08",Plano Diretor Sul,(63)3607-9040,9572
PR,Curitiba,Rua Professor Pedro Viriato Parigot de Souza,5.300 - Conectora 5,Campo Comprido,(41) 3317-3282,1003235
TO,Palmas,"402 Sul - Rua Ns-b, Conjunto 02",07/08 -,Centro,(63)3217-1904,9842
PE,Sao Lourenco da Mata,Rua Almirante Tamandaré,100 -,Centro,8134134611,1072298
PE,Sao Lourenco da Mata,Av. Almirante Tamandaré,100 -,Centro,0,103591
SP,Votuporanga,Rua Amapá,3343 - - de 3000/3001 Ao Fim,Santa Luzia,(17) 3422-2588,1055865
SP,Votorantim,Rua Paula Ney,1230 -,Parque Bela Vista,(15) 3247-5295,1038937
TO,Palmas,Acsu-se,40 - Conjunto 02 - Lote 07,Centro,(63) 3214-5387,658233
TO,Palmas,"Quadra 802 Sul, Avenida Lo 21, Lote 22",S/n -,Plano Diretor Sul,(43) 3371-7473  (31) 2126-0820,22476
TO,Alvorada,"Rua 31 de Março,",310 -,Centro,63 3353-1477,6606
TO,Gurupi,Rua Antônio Lisboa da Cruz,1340 -,Setor Central,63-3312-0005,2006023
SP,Sao Manuel,Viscinal Nilo Lisboa Chavasco,5000 -,Chacara Saltinho,(14) 3842 2000,658632
TO,Lagoa da Confusao,Avenida Antônio Duarte,1460 - Setor Praia Alta,Centro,(43) 3371-7473  (31) 2126-0820,1060000
TO,Palmas,Acsu-se 40 Conj. 2 Lote 07/08,S/n -,Centro,(63) 3232 7000,659008
TO,Palmas,Rua Ns 2,Lote 09 - Quadra 1002 Sul,Plano Diretor Sul,(81) 99649.1504,1065745
TO,Araguaina,Avenida Santos Dumont,1.310 -,Loteamento Manoel G. Cunha,(63)3415-5656,9746
TO,Gurupi,Avenida Amazonas,1059 - Entre As Ruas 3 e 4,Setor Central,(43) 3371-7473  (31) 2126-0820,2006941
TO,Araguaina,"Rodovia To-222,lt 02-a,gleba 03",-,Loteamento:zona Lontra,63-34144625,1069563
TO,Gurupi,Rua Joaquim Batista de Oliveira,321 -,Vila Alagoana,(63) 3315-2142,1036842
SP,Vinhedo,Rua Salvador Rotella 145. Residencial Flora .,145 -,Residencial Flora,8007740030,22554
SP,Tupa,Avenida Tamoios,1350 - Sala 13,Centro,14 3496 1897,1059813
SP,Tupa,Rua Mandaguaris,1010 - Térreo,Centro,(14) 34043862,695783
SP,Valinhos,Avenida Invernada,595 -,Vera Cruz,(19) 3512-4900,659563
TO,Araguaina,Rua 21 de Abril,"438 - Qd. 20, Lote 09, Salas 02, 03, 04 e 05",Centro,(63) 3412-4795,20748
SP,Valinhos,Av. Invernada,595 -,Vera Cruz,(43) 3371-7473 (31) 2126-0820,23154
TO,Araguaina,Rua 54,39 - Lote 10 Quadra 76,Loteamento Liberdade,(43) 3371-7473  (31) 2126-0820,1051670
TO,Araguaina,Avenida Anhanguera,- Lote 33/34 Quadra 215,.,(43) 3371-7473  (31) 2126-0820,1051671
SP,Tupa,Rua Cherentes,36 - Térreo e  Superior,Centro,(14) 3404-3620,688956
SP,Votorantim,Rua Paula Ney,1230 -,Centro,43-33717473 31 21260820,1051628
SP,Tatui,R. Professor Oracy Gomes,665 -,Centro,00,9660
SP,Taquaritinga,Rua São José,993 -,Centro,(16)3252-6444,9771
SP,Tatui,Rua Onze de Agosto,1031 -,Centro,(15) 3305-1374,2003922
SP,Taquaritinga,Fazenda Contendas,S/n -,Zona Rural,(16) 3253.8660,658935
SP,Taubate,Rua Benjamin Constant,79 -,Jardim das Nações,-,1073141
SP,Suzano,Rua Dr. Felício de Camargo,461 - Sobreloja,Centro,(11)4292-1411,8750
SP,Sumare,Av. Rebouças,1835 -,Jardim Alvorada,19 3367-9757,18114
SP,Sumare,Avenida Eugênio Biancalana Duarte,501 -,Jardim Primavera,(19) 3045-2700,106297
SP,Varzea Paulista,Rua Antônio de Sando,828 -,Vila Santa Catarina,0800-7744030,22549
SP,Vinhedo,Avenida  Independência,5407 -,Ceprovi,(19) 3826-5283,2003927
SP,Suzano,Rua José Correia Gonçalves,57 -,Centro,(11) 4746-7300,696246
SP,Taubate,Avenida Francisco Barreto Leme,550 -,Vila São Geraldo,(12) 3625-8080,658820
